Date,Open,Close,High,Low,Volume,Typical_Price,lrets
2016-01-04,656.289978,636.98999,657.719971,627.51001,9314500,640.7399903333334,
2016-01-05,646.859985,633.789978,646.909973,627.650024,5822600,636.1166583333334,-0.5036306590344708
2016-01-06,622.0,632.650024,639.789978,620.309998,5329200,630.9166666666666,-0.1800250001694259
2016-01-07,621.799988,607.940002,630.0,605.210022,7074900,614.3833413333333,-3.984118839510753
2016-01-08,619.659973,607.049988,624.140015,606.0,5512900,612.3966676666666,-0.14650559535773766
2016-01-11,612.47998,617.73999,619.849976,598.570007,4891600,612.0533243333333,1.7456500549173803
2016-01-12,625.25,617.890015,625.98999,612.23999,4724100,618.706665,0.024283159219162798
2016-01-13,620.880005,581.809998,620.880005,579.159973,7655200,593.949992,-6.016654185065384
2016-01-14,580.25,593.0,602.25,569.880005,7238000,588.3766683333333,1.9050468484759442
2016-01-15,572.23999,570.179993,584.619995,565.299988,7784500,573.3666586666667,-3.9242310823271787
2016-01-19,577.090027,574.47998,584.0,566.450012,4807200,574.9766639999999,0.751316081351483
2016-01-20,564.359985,571.77002,578.450012,547.179993,7966400,565.8000083333333,-0.4728401394207715
2016-01-21,573.580017,575.02002,588.809998,568.219971,4952200,577.3499963333334,0.5668009988782252
2016-01-22,588.72998,596.380005,600.099976,584.109985,5120100,593.5299886666667,3.647319858908382
2016-01-25,597.98999,596.530029,608.5,594.559998,4396100,599.8633423333333,0.025152609419887284
2016-01-26,603.450012,601.25,604.5,590.380005,3765700,598.7100016666667,0.7881239154144737
2016-01-27,601.98999,583.349976,603.390015,578.780029,5152900,588.5066733333333,-3.0223513291787185
2016-01-28,608.369995,635.349976,638.059998,597.549988,14015200,623.6533206666667,8.538868224790441
2016-01-29,571.97998,587.0,593.0,570.0,14677600,583.3333333333334,-7.915117054799126
2016-02-01,578.150024,574.809998,581.799988,570.309998,6355100,575.6399946666667,-2.0985271898368296
2016-02-02,570.0,552.099976,571.559998,550.090027,6312000,557.916667,-4.0310402110116605
